118.31.13.48,patched,CN,4,38,ALISOFT,,,,FALSE,,,,,
211.159.159.9,vulnerable,CN,30,37,TencentCloud,CN,,,FALSE,,,,,
193.112.75.103,vulnerable,CN,25,37,TENCENT-CN,CN,,,FALSE,,,,,
39.105.33.177,vulnerable,CN,5,37,ALISOFT,CN,,"[u'CVE-2019-0196', u'CVE-2019-0197', u'CVE-2019-0220', u'CVE-2018-8011', u'CVE-2019-0211', u'CVE-2018-1333', u'CVE-2018-17199', u'CVE-2018-11763']",FALSE,,,,,
121.196.208.252,patched,CN,5,37,ALISOFT,,,,FALSE,,,,,
49.234.85.71,vulnerable,CN,31,36,TencentCloud,CN,,,FALSE,,,,,
148.70.162.172,vulnerable,CN,26,36,TENCENT-CN,CN,,,FALSE,,,,,
134.175.145.160,patched,CN,26,36,TENCENT-CN,CN,,,FALSE,,,,,
47.100.193.50,vulnerable,CN,6,36,ALISOFT,,,,FALSE,,,,,
121.196.213.240,patched,CN,6,36,ALISOFT,CN,,"[u'CVE-2010-1899', u'CVE-2010-2730', u'CVE-2010-3972', u'CVE-2012-2531', u'CVE-2012-2532', u'CVE-2010-1256']",FALSE,,,,,
39.107.107.106,patched,CN,6,36,ALISOFT,CN,,"[u'CVE-2010-1899', u'CVE-2010-2730', u'CVE-2010-3972', u'CVE-2012-2531', u'CVE-2012-2532', u'CVE-2010-1256']",FALSE,,,,,
106.53.4.147,vulnerable,CN,32,35,TencentCloud,CN,,,FALSE,,,,,
132.232.42.186,vulnerable,CN,27,35,TENCENT-CN,CN,,,FALSE,,,,,
115.28.208.130,vulnerable,CN,7,35,ALISOFT,,,,FALSE,,,,,
47.92.221.11,patched,CN,7,35,ALISOFT,,,,FALSE,,,,,
49.232.89.142,vulnerable,CN,33,34,TencentCloud,,,,FALSE,,,,,
134.175.45.210,vulnerable,CN,28,34,TENCENT-CN,CN,,,FALSE,,,,,
120.24.167.70,vulnerable,CN,8,34,ALISOFT,CN,,"[u'CVE-2017-7679', u'CVE-2017-9798', u'CVE-2018-1312', u'CVE-2018-1333', u'CVE-2018-11763', u'CVE-2019-0197', u'CVE-2019-0196', u'CVE-2019-0211', u'CVE-2017-15710', u'CVE-2017-7668', u'CVE-2017-15715', u'CVE-2016-5387', u'CVE-2018-17199', u'CVE-2017-9788', u'CVE-2017-3167', u'CVE-2016-0736', u'CVE-2017-3169', u'CVE-2016-2161', u'CVE-2019-0220', u'CVE-2016-4975', u'CVE-2018-1283', u'CVE-2016-8740', u'CVE-2016-8743']",FALSE,,,,,
39.108.91.173,patched,CN,8,34,ALISOFT,CN,,,FALSE,,,,,
123.56.74.232,patched,CN,8,34,ALISOFT,CN,,"[u'CVE-2018-10549', u'CVE-2014-5459', u'CVE-2008-2939', u'CVE-2008-5658', u'CVE-2018-10545', u'CVE-2018-10547', u'CVE-2018-10546', u'CVE-2008-5557', u'CVE-2008-5498', u'CVE-2012-1172', u'CVE-2018-10548', u'CVE-2010-1861', u'CVE-2010-1860', u'CVE-2010-1862', u'CVE-2010-1864', u'CVE-2010-1868', u'CVE-2014-2497', u'CVE-2010-4645', u'CVE-2011-1468', u'CVE-2011-1469', u'CVE-2011-0421', u'CVE-2008-7068', u'CVE-2012-2687', u'CVE-2009-3294', u'CVE-2009-3292', u'CVE-2011-1467', u'CVE-2011-1464', u'CVE-2009-3291', u'CVE-2011-3182', u'CVE-2010-2097', u'CVE-2008-3659', u'CVE-2008-3658', u'CVE-2010-2093', u'CVE-2018-20783', u'CVE-2009-3557', u'CVE-2012-0053', u'CVE-2006-7243', u'CVE-2012-0883', u'CVE-2009-3558', u'CVE-2009-2626', u'CVE-2010-1130', u'CVE-2012-1823', u'CVE-2013-1635', u'CVE-2016-4975', u'CVE-2011-3639', u'CVE-2010-3710', u'CVE-2013-1862', u'CVE-2013-1643', u'CVE-2011-4317', u'CVE-2007-1581', u'CVE-2010-2484', u'CVE-2014-0098', u'CVE-2011-3348', u'CVE-2018-19520', u'CVE-2018-19396', u'CVE-2016-7478', u'CVE-2012-2376', u'CVE-2012-0031', u'CVE-2012-2143', u'CVE-2010-3870', u'CVE-2012-1171', u'CVE-2012-0831', u'CVE-2018-17082', u'CVE-2019-9639', u'CVE-2019-9638', u'CVE-2013-6438', u'CVE-2013-4248', u'CVE-2019-9637', u'CVE-2009-1891', u'CVE-2011-4415', u'CVE-2010-2531', u'CVE-2009-1890', u'CVE-2018-14883', u'CVE-2013-2249', u'CVE-2011-1153', u'CVE-2010-1452', u'CVE-2010-0434', u'CVE-2014-8626', u'CVE-2008-5625', u'CVE-2012-2311', u'CVE-2014-0237', u'CVE-2010-1915', u'CVE-2011-0419', u'CVE-2014-0231', u'CVE-2014-0238', u'CVE-2019-9023', u'CVE-2019-9020', u'CVE-2019-9021', u'CVE-2019-9024', u'CVE-2009-1195', u'CVE-2011-3192', u'CVE-2008-3660', u'CVE-2008-2364', u'CVE-2010-0425', u'CVE-2018-1312', u'CVE-2011-3368', u'CVE-2008-5624', u'CVE-2012-4558', u'CVE-2011-0708', u'CVE-2011-3607', u'CVE-2011-1092', u'CVE-2018-19935', u'CVE-2010-4697', u'CVE-2013-4635', u'CVE-2009-1272', u'CVE-2008-2666', u'CVE-2008-2665', u'CVE-2009-1271', u'CVE-2010-4699', u'CVE-2012-2688', u'CVE-2010-2101', u'CVE-2010-2100', u'CVE-2017-7679', u'CVE-2019-6977', u'CVE-2010-2225', u'CVE-2011-2483', u'CVE-2007-6750', u'CVE-2010-1914', u'CVE-2010-1917', u'CVE-2011-3267', u'CVE-2011-1466', u'CVE-2014-9427', u'CVE-2015-8994', u'CVE-2019-9641', u'CVE-2012-3365', u'CVE-2018-15132', u'CVE-2010-3065', u'CVE-2011-4885', u'CVE-2010-0408', u'CVE-2011-0752', u'CVE-2011-0755', u'CVE-2009-4418', u'CVE-2010-2190', u'CVE-2010-2191', u'CVE-2009-2699', u'CVE-2011-3268', u'CVE-2010-3709', u'CVE-2013-1896', u'CVE-2016-8612', u'CVE-2012-2336', u'CVE-2009-4143', u'CVE-2009-4142', u'CVE-2009-4018', u'CVE-2010-1128', u'CVE-2010-1129', u'CVE-2009-3293', u'CVE-2017-16642', u'CVE-2013-2110', u'CVE-2012-3499', u'CVE-2011-4718', u'CVE-2018-19395', u'CVE-2008-2829', u'CVE-2012-2386', u'CVE-2008-5814', u'CVE-2012-0057', u'CVE-2012-0789', u'CVE-2012-0788', u'CVE-2011-1470']",FALSE,,,,,
58.87.91.116,vulnerable,CN,34,33,TencentCloud,CN,,,FALSE,,,,,
188.131.175.107,vulnerable,CN,29,33,TENCENT-CN,CN,,,FALSE,,,,,
47.98.155.66,vulnerable,CN,9,33,ALISOFT,CN,,"[u'CVE-2010-1899', u'CVE-2010-2730', u'CVE-2010-3972', u'CVE-2012-2531', u'CVE-2012-2532', u'CVE-2010-1256']",FALSE,,,,,
118.89.68.117,vulnerable,CN,35,32,TencentCloud,CN,,,FALSE,,,,,
129.204.93.132,vulnerable,CN,30,32,TENCENT-CN,CN,,,FALSE,,,,,
120.76.213.148,vulnerable,CN,10,32,ALISOFT,CN,,"[u'CVE-2010-1899', u'CVE-2010-2730', u'CVE-2010-3972', u'CVE-2012-2531', u'CVE-2012-2532', u'CVE-2010-1256']",FALSE,,,,,
203.195.174.132,vulnerable,CN,36,31,TencentCloud,CN,,,FALSE,,,,,
111.231.13.144,patched,CN,36,31,TencentCloud,,,,FALSE,,,,,
62.234.201.205,vulnerable,CN,31,31,TENCENT-CN,CN,,,FALSE,,,,,
120.77.6.66,vulnerable,CN,11,31,ALISOFT,,,,FALSE,,,,,
123.206.228.220,vulnerable,CN,37,30,TencentCloud,CN,,,FALSE,,,,,
193.112.90.11,vulnerable,CN,32,30,TENCENT-CN,CN,,,FALSE,,,,,
39.106.58.120,vulnerable,CN,12,30,ALISOFT,CN,,,FALSE,,,,,
47.96.225.36,patched,CN,12,30,ALISOFT,,,,FALSE,,,,,
49.233.42.161,vulnerable,CN,38,29,TencentCloud,CN,,,FALSE,,,,,
49.235.243.169,patched,CN,38,29,TencentCloud,CN,,,FALSE,,,,,
132.232.205.151,vulnerable,CN,33,29,TENCENT-CN,CN,,,FALSE,,,,,
139.196.45.61,vulnerable,CN,13,29,ALISOFT,CN,,[u'CVE-2019-0708'],TRUE,,,,,
101.37.76.76,patched,CN,13,29,ALISOFT,CN,,"[u'CVE-2010-1899', u'CVE-2010-2730', u'CVE-2010-3972', u'CVE-2012-2531', u'CVE-2012-2532', u'CVE-2010-1256', u'CVE-2015-0204', u'CVE-2015-4000']",FALSE,,,,,
115.159.44.12,vulnerable,CN,39,28,TencentCloud,CN,,,FALSE,,,,,
94.191.86.100,vulnerable,CN,34,28,TENCENT-CN,CN,,,FALSE,,,,,
